student_id,archetype,t,true_state,state_name,concept_coverage,semantic_correctness,misconception_score,explanation_depth,response_effort,attention,confidence,difficulty
1,inconsistent,0,3,Understanding,0.7941,0.5049,0.0,0.6653,0.6621,0.7478,0.5391,0.5643
1,inconsistent,1,4,Confident,0.8866,0.9627,0.0968,0.6969,0.7943,0.6753,0.9642,0.2435
1,inconsistent,2,4,Confident,0.8119,0.9723,0.0345,0.7486,0.7077,0.8692,0.8975,0.3037
1,inconsistent,3,3,Understanding,0.9142,0.6594,0.0688,0.5523,0.7739,0.8968,0.6352,0.3408
1,inconsistent,4,1,Unclear,0.3151,0.4243,0.4043,0.2201,0.3779,0.5152,0.3784,0.8133
1,inconsistent,5,1,Unclear,0.3179,0.3568,0.3789,0.3758,0.1751,0.4584,0.2889,0.6169
1,inconsistent,6,1,Unclear,0.3995,0.2634,0.4468,0.0981,0.3098,0.5212,0.4262,0.7925
1,inconsistent,7,1,Unclear,0.2151,0.3038,0.4358,0.277,0.1969,0.3527,0.2305,0.7646
2,inconsistent,0,2,Struggling but Trying,0.4659,0.5626,0.2691,0.6048,0.6706,0.7528,0.3504,0.5945
2,inconsistent,1,2,Struggling but Trying,0.4031,0.5012,0.3481,0.6036,0.8298,0.7872,0.345,0.7396
2,inconsistent,2,2,Struggling but Trying,0.3053,0.3677,0.2003,0.598,0.6413,0.7508,0.5689,0.7037
2,inconsistent,3,3,Understanding,0.6066,0.6795,0.025,0.6093,0.8008,0.5254,0.7065,0.4809
2,inconsistent,4,1,Unclear,0.1054,0.3572,0.2971,0.3279,0.3526,0.7082,0.3189,0.5669
2,inconsistent,5,2,Struggling but Trying,0.472,0.6359,0.3835,0.5928,0.9256,0.6455,0.3168,0.6295
2,inconsistent,6,2,Struggling but Trying,0.3123,0.5635,0.2778,0.3735,0.6281,0.8408,0.509,1.0
3,strong,0,3,Understanding,0.7268,0.6187,0.0785,0.5765,0.6831,0.8886,0.6704,0.4294
3,strong,1,4,Confident,0.7125,0.8014,0.0446,1.0,0.7656,0.9278,0.7851,0.096
3,strong,2,3,Understanding,0.6275,0.9128,0.0379,0.7506,0.5916,0.8711,0.7,0.4296
3,strong,3,3,Understanding,0.6345,0.7446,0.0745,0.5029,0.5466,0.7724,0.8553,0.4708
3,strong,4,4,Confident,0.9086,0.9806,0.0719,0.7507,0.8828,0.8557,1.0,0.2738
4,hardworking_struggler,0,1,Unclear,0.4224,0.332,0.3117,0.4754,0.2172,0.3837,0.4336,0.6487
4,hardworking_struggler,1,2,Struggling but Trying,0.4337,0.5338,0.4407,0.5609,0.8273,0.5335,0.3937,0.6404
4,hardworking_struggler,2,2,Struggling but Trying,0.3622,0.4666,0.3916,0.3908,0.7537,0.7371,0.3574,0.8804
4,hardworking_struggler,3,2,Struggling but Trying,0.5837,0.4845,0.2304,0.5231,0.7791,0.823,0.259,0.7618
4,hardworking_struggler,4,2,Struggling but Trying,0.7017,0.6877,0.2147,0.5155,0.5744,0.7232,0.441,0.9068
4,hardworking_struggler,5,3,Understanding,0.6346,0.4853,0.1037,0.5225,0.6365,0.636,0.6377,0.2215
4,hardworking_struggler,6,3,Understanding,0.9129,0.5713,0.0103,0.8704,1.0,0.5977,0.6021,0.4944
4,hardworking_struggler,7,3,Understanding,0.6013,0.6755,0.1977,0.7022,0.6549,0.7326,0.4713,0.419
5,fast_learner,0,2,Struggling but Trying,0.5513,0.5155,0.3352,0.5564,0.75,0.7062,0.4411,0.7374
5,fast_learner,1,2,Struggling but Trying,0.6073,0.5386,0.2237,0.4165,0.8929,0.8342,0.4624,0.5232
5,fast_learner,2,3,Understanding,0.7454,0.589,0.0728,0.6816,0.7063,0.712,0.6365,0.4172
5,fast_learner,3,3,Understanding,0.8471,0.4433,0.0963,0.6712,0.7355,0.7017,0.4216,0.4926
5,fast_learner,4,3,Understanding,0.5466,0.7864,0.0871,0.6426,0.5737,0.7065,0.819,0.5257
5,fast_learner,5,3,Understanding,0.8177,0.7439,0.2944,0.7027,0.7994,0.7114,0.6587,0.3593
5,fast_learner,6,4,Confident,0.7622,0.9282,0.0309,0.9405,0.8401,1.0,0.945,0.0456
5,fast_learner,7,3,Understanding,0.5828,0.6482,0.2711,0.7265,0.6161,0.6182,0.6543,0.2918
5,fast_learner,8,2,Struggling but Trying,0.4812,0.6155,0.3609,0.275,0.7865,0.8094,0.4538,0.9601
6,strong,0,2,Struggling but Trying,0.2918,0.6476,0.3368,0.6516,0.6815,0.9058,0.5389,0.7803
6,strong,1,3,Understanding,0.727,0.6137,0.1052,0.6317,0.746,0.88,0.5124,0.4337
6,strong,2,4,Confident,0.8056,0.7678,0.0702,0.9013,0.7514,0.9728,0.9614,0.3594
6,strong,3,3,Understanding,0.9328,0.6795,0.0,0.8425,0.6451,0.764,0.8202,0.2417
